ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,0,5,5,1,1.000,1,.625,8,1,.500,2,36:18,0,3,0,12,0,0,5
11,0,2,0,0,.000,1,.000,6,5,.833,6,36:11,0,2,+6,5,0,1,2
4,3,9,7,0,.000,1,.333,21,8,.727,11,35:45,5,4,+6,22,1,0,14
1,0,3,9,2,.400,5,.474,19,3,.750,4,35:22,2,3,+12,23,1,2,5
0,1,4,6,0,,0,.750,8,1,.500,2,25:20,2,2,-3,13,0,0,6
1,0,7,2,0,.000,3,.286,7,4,.800,5,29:57,3,5,+6,8,1,2,10
1,1,2,3,1,.250,4,.500,6,1,1.000,1,20:41,1,2,+4,8,1,1,3
2,0,1,1,1,1.000,1,.500,2,0,,0,10:48,0,1,-4,3,0,1,1
0,0,1,1,0,,0,1.000,1,0,,0,9:38,0,0,-2,2,0,2,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
