ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
6,0,2,4,1,.333,3,.308,13,2,1.000,2,37:59,0,3,0,11,1,1,2
4,0,4,4,3,.600,5,.400,10,6,1.000,6,37:22,2,1,0,17,2,2,6
1,1,9,7,0,.000,3,.350,20,8,1.000,8,35:22,0,6,+6,22,0,2,9
2,3,6,7,0,,0,.636,11,2,.333,6,29:45,7,5,-1,16,0,1,13
0,0,0,3,1,.333,3,.429,7,1,1.000,1,16:17,0,1,+5,8,2,1,0
1,1,0,2,1,.250,4,.333,6,4,1.000,4,30:15,2,5,+2,9,0,0,2
3,1,8,2,0,.000,4,.250,8,3,.500,6,28:42,2,0,+5,7,0,2,10
1,0,3,2,1,.500,2,.400,5,1,.500,2,21:54,0,1,0,6,0,2,3
0,0,0,0,0,,0,,0,0,.000,2,2:24,0,3,+3,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
