ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
7,1,4,1,1,.125,8,.100,10,2,1.000,2,36:25,1,3,-8,5,2,3,5
0,1,6,12,2,.333,6,.500,24,7,.700,10,34:51,0,3,-17,33,0,2,6
2,0,3,2,1,.500,2,.400,5,0,,0,26:41,0,5,-8,5,1,2,3
3,0,1,1,0,.000,3,.125,8,0,.000,1,24:48,0,1,-13,2,0,0,1
0,0,7,3,0,,0,1.000,3,0,,0,22:35,2,4,-7,6,2,3,9
3,0,2,4,2,.500,4,.444,9,0,,0,28:42,0,1,-14,10,1,2,2
0,0,2,3,1,.250,4,.429,7,0,,0,24:32,1,3,-10,7,1,0,3
1,2,6,2,1,.250,4,.333,6,2,1.000,2,22:35,1,1,-10,7,0,1,7
0,0,5,2,0,,0,.500,4,0,.000,2,14:29,1,0,-7,4,0,1,6
0,0,0,0,0,,0,,0,0,,0,2:11,0,0,-3,0,0,1,0
0,0,0,0,0,,0,,0,0,,0,2:11,0,0,-3,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
