ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,1,7,5,1,.333,3,.278,18,10,.769,13,31:24,1,2,-4,21,0,3,8
1,0,1,3,2,.667,3,.429,7,0,.000,1,27:29,2,2,-12,8,1,0,3
1,0,1,4,0,.000,1,.444,9,0,,0,22:08,0,1,-12,8,0,1,1
0,0,1,3,0,.000,1,.500,6,0,,0,17:05,1,1,-11,6,2,2,2
1,0,3,1,0,,0,1.000,1,0,,0,12:06,1,2,-12,2,0,0,4
0,0,5,2,2,.667,3,.667,3,0,,0,30:08,2,0,+16,6,1,0,7
2,0,2,4,3,.600,5,.571,7,0,,0,28:07,0,5,+11,11,0,1,2
3,0,3,3,2,.500,4,.375,8,0,,0,27:09,1,4,+10,8,0,2,4
1,0,5,7,0,.000,1,.636,11,5,.625,8,25:52,0,2,+13,19,1,1,5
1,2,5,2,0,,0,.500,4,1,.500,2,18:33,0,0,+6,5,0,0,5
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
