ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
5,0,3,10,4,.667,6,.588,17,2,1.000,2,45:56,1,3,+4,26,3,3,4
5,1,13,8,1,.250,4,.500,16,9,.643,14,38:48,3,5,-12,26,0,6,16
0,0,1,6,3,.600,5,.667,9,0,,0,34:22,0,5,-12,15,0,1,1
3,0,0,0,0,.000,1,.000,4,2,1.000,2,32:49,0,4,-18,2,2,4,0
0,0,10,4,0,,0,.667,6,1,.250,4,27:58,2,3,+12,9,0,1,12
0,0,3,3,2,.667,3,.600,5,2,1.000,2,26:10,2,2,+2,10,0,2,5
6,0,1,3,2,.667,3,.429,7,8,1.000,8,23:00,1,1,+6,16,1,2,2
1,0,2,0,0,.000,2,.000,3,2,1.000,2,20:36,0,4,+9,2,1,0,2
2,0,0,0,0,,0,.000,1,2,1.000,2,11:32,1,2,-8,2,0,0,1
0,0,0,1,1,1.000,1,.500,2,0,,0,3:50,0,1,-3,3,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
