ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,1,4,3,3,.500,6,.300,10,0,,0,33:03,0,4,-21,9,0,2,4
3,1,1,5,1,.500,2,.556,9,3,.750,4,27:50,0,0,-26,14,0,4,1
6,1,4,6,1,.333,3,.429,14,0,.000,1,22:39,0,1,-12,13,0,3,4
2,0,0,1,1,.500,2,.250,4,1,1.000,1,15:40,0,0,-10,4,0,1,0
0,1,2,0,0,,0,.000,2,1,.500,2,11:05,0,4,-14,1,0,0,2
3,0,11,5,1,.200,5,.417,12,4,1.000,4,31:41,3,2,-26,15,1,1,14
3,0,3,1,0,.000,5,.143,7,1,.500,2,29:29,4,1,-14,3,1,2,7
2,0,6,4,0,.000,1,.400,10,2,1.000,2,27:08,1,2,+5,10,1,0,7
1,1,4,6,0,,0,.375,16,1,1.000,1,24:19,3,2,-10,13,1,4,7
1,0,0,0,0,,0,.000,2,0,,0,9:34,0,1,+6,0,0,1,0
0,1,3,2,0,,0,.667,3,0,,0,7:32,1,0,+7,4,0,0,4
,,,,,,,,,,,,,,,,,,,
