ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,0,1,9,3,.750,4,.692,13,5,.714,7,28:31,1,1,-9,26,2,2,2
1,0,4,3,0,,0,.375,8,2,1.000,2,26:50,0,1,+2,8,1,1,4
2,0,2,2,1,.333,3,.333,6,0,,0,26:47,0,3,+4,5,0,0,2
0,0,10,6,0,,0,.600,10,0,,0,24:48,0,4,-1,12,0,1,10
4,1,4,2,0,.000,2,.222,9,1,1.000,1,23:42,1,1,+6,5,0,3,5
1,1,2,4,0,,0,.571,7,0,,0,27:01,1,5,-13,8,0,0,3
3,0,7,2,0,.000,4,.286,7,2,.667,3,25:06,0,3,-10,6,4,1,7
3,0,1,3,0,.000,1,.429,7,2,1.000,2,24:18,0,1,-16,8,0,1,1
1,0,2,4,3,.600,5,.444,9,0,,0,18:26,0,0,-9,11,0,1,2
1,1,4,7,0,,0,.700,10,1,1.000,1,14:31,2,3,-4,15,0,3,6
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
