ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,0,11,7,0,,0,.583,12,6,.750,8,42:23,2,1,-11,20,1,2,13
1,0,2,7,4,.500,8,.438,16,0,,0,36:52,2,4,-7,18,0,2,4
1,0,3,6,2,.667,3,.600,10,4,.800,5,34:14,0,2,-11,18,0,0,3
10,0,1,5,0,.000,3,.417,12,4,.800,5,32:55,1,2,-6,14,0,1,2
1,1,4,4,0,,0,.364,11,0,,0,20:50,2,2,+1,8,1,0,6
5,0,0,2,2,1.000,2,.333,6,1,.500,2,30:17,0,2,-8,7,0,0,0
6,0,0,2,0,.000,1,.400,5,4,1.000,4,19:49,0,3,-2,8,2,2,0
0,0,3,4,2,1.000,2,.800,5,0,,0,17:12,0,2,-1,10,0,1,3
0,0,3,3,2,.500,4,.333,9,3,.750,4,16:24,1,2,+3,11,0,0,4
0,0,5,4,0,,0,.667,6,0,,0,14:04,0,1,+2,8,1,2,5
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
