ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,0,1,4,2,.250,8,.333,12,1,1.000,1,32:20,0,1,-5,11,1,2,1
4,0,2,2,1,.167,6,.250,8,2,1.000,2,28:08,1,2,-1,7,3,2,3
0,0,3,4,0,.000,2,.308,13,2,1.000,2,27:24,0,2,-9,10,0,1,3
2,0,2,1,0,,0,.250,4,2,1.000,2,26:27,1,3,-11,4,2,3,3
2,1,4,3,0,,0,.375,8,3,.750,4,23:29,2,2,-2,9,0,1,6
6,0,0,3,0,.000,1,.500,6,2,.400,5,22:17,1,2,-22,8,0,1,1
1,1,9,6,0,,0,.600,10,2,1.000,2,21:36,2,2,-3,14,1,1,11
0,0,2,4,2,1.000,2,.571,7,0,,0,20:11,0,2,-10,10,0,0,2
0,0,1,3,0,.000,1,.429,7,2,1.000,2,19:45,0,3,-4,8,2,0,1
1,0,2,5,0,.000,1,.500,10,3,1.000,3,18:23,2,3,-13,13,0,1,4
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
