ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,0,4,9,4,.667,6,.600,15,0,,0,34:16,0,3,-3,22,1,1,4
3,0,8,5,0,,0,.556,9,5,.714,7,27:25,2,5,-1,15,2,1,10
7,0,0,2,0,,0,.286,7,3,.750,4,25:36,0,1,-10,7,1,4,0
0,0,5,3,0,,0,.500,6,0,,0,19:48,1,2,-7,6,0,2,6
0,0,1,3,0,,0,.750,4,1,.500,2,17:37,2,5,-8,7,0,4,3
3,3,4,4,0,.000,3,.400,10,0,.000,1,28:24,0,3,+15,8,0,1,4
2,0,2,5,4,.800,5,.556,9,2,.667,3,26:16,0,2,+11,16,0,2,2
11,0,2,5,0,.000,1,.625,8,11,.786,14,25:22,0,3,+17,21,1,1,2
0,1,5,2,0,,0,.667,3,0,,0,20:21,1,3,+5,4,0,1,6
0,0,2,6,3,.750,4,.857,7,2,1.000,2,14:54,1,0,+11,17,0,0,3
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
