ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
5,0,6,7,2,.500,4,.538,13,2,.667,3,38:17,0,2,+10,18,1,0,6
0,0,4,6,2,.250,8,.353,17,14,1.000,14,35:33,1,3,+8,28,0,3,5
8,0,2,8,1,.333,3,.667,12,6,.857,7,34:36,0,1,+3,23,2,0,2
1,3,6,5,0,,0,.833,6,3,.750,4,33:23,2,6,+9,13,1,0,8
0,0,3,6,0,,0,.600,10,1,.333,3,27:01,3,5,-4,13,0,2,6
2,0,1,2,2,.500,4,.333,6,4,1.000,4,23:44,1,2,+8,10,2,1,2
1,1,2,2,1,.250,4,.333,6,0,,0,20:37,0,0,-4,5,0,0,2
2,0,3,2,0,,0,.667,3,0,,0,12:26,0,0,+2,4,0,4,3
2,0,0,0,0,.000,1,.000,1,0,,0,10:41,0,0,-5,0,0,0,0
0,0,0,0,0,.000,1,.000,1,0,,0,3:42,0,0,-2,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
