ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
5,0,6,9,0,.000,2,.529,17,2,1.000,2,30:11,1,2,+17,20,1,3,7
1,3,11,6,0,,0,.545,11,4,.500,8,29:12,3,3,+4,16,1,1,14
1,1,2,7,4,.800,5,.538,13,0,,0,29:07,0,1,+3,18,1,1,2
5,0,0,3,2,1.000,2,.500,6,0,,0,28:30,0,2,+12,8,2,1,0
0,3,6,3,0,,0,.750,4,2,.400,5,20:10,0,6,+19,8,1,2,6
3,1,1,2,1,.333,3,.222,9,2,1.000,2,30:32,0,2,+29,7,1,1,1
1,0,3,4,1,.500,2,.500,8,0,,0,21:49,2,0,+17,9,0,0,5
2,1,2,3,0,.000,1,.375,8,2,.667,3,20:34,1,1,+14,8,3,1,3
0,1,1,4,3,.750,4,.667,6,0,,0,19:30,1,4,+13,11,0,0,2
1,0,0,2,0,,0,1.000,2,0,,0,5:49,2,1,-1,4,0,0,2
1,0,0,0,0,,0,.000,1,0,,0,2:18,0,0,-1,0,0,0,0
0,1,3,0,0,,0,,0,0,,0,2:18,0,0,-1,0,0,0,3
,,,,,,,,,,,,,,,,,,,
