ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,1,7,10,3,.375,8,.526,19,6,1.000,6,36:25,0,3,-6,29,1,4,7
0,2,8,8,0,.000,1,.667,12,0,,0,34:58,2,3,+7,16,0,0,10
4,0,4,7,4,.400,10,.500,14,2,.500,4,33:23,0,3,-1,20,2,2,4
1,3,6,2,0,,0,.500,4,3,.750,4,30:17,5,3,-7,7,1,2,11
5,0,2,3,0,.000,3,.273,11,0,,0,24:26,1,2,+5,6,1,1,3
5,0,1,2,1,.333,3,.500,4,1,.500,2,23:34,0,3,-11,6,0,1,1
2,0,3,1,0,.000,3,.167,6,0,,0,23:04,1,1,-4,2,0,1,4
1,0,5,5,0,.000,4,.500,10,0,,0,18:21,1,1,-8,10,0,0,6
2,0,0,0,0,.000,2,.000,2,2,1.000,2,11:44,0,1,-2,2,0,0,0
0,0,0,0,0,,0,,0,0,,0,3:48,0,2,-3,0,0,1,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
