ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
7,0,5,8,3,.500,6,.500,16,12,.923,13,36:16,0,0,+12,31,0,0,5
0,3,10,5,0,,0,.714,7,6,.750,8,33:20,4,2,+9,16,0,2,14
4,0,1,2,2,.667,3,.333,6,2,1.000,2,31:45,0,3,+17,8,1,3,1
3,1,2,7,3,.500,6,.467,15,2,1.000,2,20:26,0,1,+13,19,1,2,2
1,0,2,2,0,,0,1.000,2,0,,0,12:41,0,2,0,4,0,0,2
3,0,3,4,3,.600,5,.571,7,0,,0,26:25,0,1,+16,11,0,1,3
1,0,4,5,2,.667,3,.625,8,1,.500,2,23:55,0,4,+9,13,0,0,4
2,0,0,4,1,.500,2,.800,5,0,,0,20:05,0,0,+9,9,1,0,0
0,1,4,2,0,,0,.667,3,0,,0,14:40,0,3,+10,4,1,0,4
2,0,2,1,1,1.000,1,1.000,1,0,,0,12:09,0,1,+10,3,0,0,2
0,0,2,1,0,.000,2,.250,4,0,,0,8:18,1,3,-10,2,0,0,3
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
