ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,3,10,9,0,,0,1.000,9,3,.429,7,38:24,2,5,+15,21,1,3,12
6,3,6,5,4,.571,7,.385,13,8,.889,9,37:28,1,2,+14,22,2,2,7
1,0,3,5,0,.000,8,.313,16,0,,0,33:20,1,1,+24,10,0,0,4
3,0,5,4,1,1.000,1,.800,5,2,1.000,2,30:01,1,1,+16,11,0,2,6
3,0,2,0,0,.000,2,.000,3,0,,0,14:15,0,4,+4,0,0,3,2
5,0,5,4,2,1.000,2,.571,7,0,.000,3,29:18,0,1,+6,10,1,4,5
0,0,2,1,1,.250,4,.167,6,0,,0,20:01,0,1,-10,3,0,0,2
0,4,1,2,0,,0,.500,4,1,.500,2,13:30,0,0,-6,5,0,0,1
0,0,1,0,0,.000,1,.000,1,0,,0,13:15,0,1,-10,0,0,0,1
0,1,2,0,0,.000,2,.000,2,0,.000,2,10:28,0,4,-8,0,0,1,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
