ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,2,15,5,0,,0,.833,6,1,.333,3,31:07,2,3,-23,11,0,2,17
2,0,2,2,0,.000,6,.200,10,2,.667,3,26:57,1,3,-23,6,0,2,3
0,0,1,2,2,1.000,2,1.000,2,0,,0,26:00,0,2,-9,6,0,3,1
1,0,3,1,0,,0,.200,5,0,,0,15:33,0,0,0,2,0,4,3
1,0,1,0,0,.000,3,.000,5,0,.000,2,10:42,0,2,-3,0,0,0,1
3,0,4,4,3,.429,7,.308,13,0,,0,27:08,1,4,-20,11,2,2,5
1,0,0,2,2,.500,4,.200,10,5,.833,6,24:12,3,0,-21,11,0,3,3
0,0,2,5,2,.667,3,.556,9,2,1.000,2,22:29,0,1,-30,14,0,2,2
2,0,1,3,0,.000,2,.429,7,0,.000,2,21:55,0,1,-18,6,0,4,1
0,1,3,0,0,,0,.000,1,0,,0,16:53,2,0,-7,0,1,1,5
2,0,1,3,0,.000,3,.429,7,0,,0,13:12,0,1,-2,6,2,0,1
0,0,1,0,0,,0,.000,1,1,.500,2,3:52,1,0,+6,1,0,0,2
,,,,,,,,,,,,,,,,,,,
