ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,3,9,3,0,,0,.300,10,9,.900,10,35:48,7,3,-8,15,0,2,16
3,1,2,3,1,.200,5,.300,10,0,,0,35:14,0,1,-8,7,0,0,2
2,0,2,6,2,.500,4,.500,12,2,1.000,2,33:48,2,3,-14,16,0,4,4
2,0,3,7,1,1.000,1,.778,9,2,1.000,2,30:51,1,3,-7,17,1,4,4
1,0,7,4,0,,0,.400,10,1,.500,2,26:00,1,1,+2,9,1,3,8
3,0,6,3,0,.000,3,.500,6,0,,0,25:33,0,5,-11,6,0,1,6
2,0,3,3,0,.000,1,.500,6,2,1.000,2,19:36,0,2,+8,8,0,1,3
2,0,0,1,0,.000,2,.333,3,0,,0,14:27,0,3,+1,2,0,0,0
0,0,1,3,3,.750,4,.500,6,0,,0,11:43,1,1,-2,9,0,3,2
0,0,1,1,0,,0,1.000,1,2,.667,3,3:59,0,0,-2,4,0,0,1
1,0,0,0,0,,0,,0,0,,0,3:01,0,0,+1,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
