ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,2,9,4,0,,0,.400,10,2,1.000,2,29:54,7,3,+29,10,0,1,16
3,0,4,7,1,.250,4,.438,16,2,1.000,2,26:17,1,0,+21,17,1,0,5
2,0,5,5,0,.000,1,.714,7,2,1.000,2,25:11,2,3,+23,12,1,2,7
3,0,1,6,2,.333,6,.545,11,5,.625,8,24:49,0,3,+17,19,1,0,1
2,0,2,1,1,.333,3,.333,3,0,,0,21:46,0,1,+22,3,1,0,2
1,0,2,10,6,.750,8,.714,14,1,1.000,1,23:40,1,1,+17,27,0,0,3
5,0,3,5,1,.500,2,.714,7,0,,0,23:11,0,4,+16,11,1,3,3
0,0,5,4,1,.333,3,.500,8,4,1.000,4,22:56,0,2,+12,13,2,0,5
3,0,2,1,0,,0,.500,2,0,,0,14:44,1,0,+7,2,2,1,3
0,0,1,3,2,.500,4,.429,7,0,,0,13:54,0,0,+2,8,0,1,1
3,0,1,1,0,.000,1,.500,2,1,.500,2,5:10,0,0,0,3,0,0,1
0,0,1,1,0,,0,1.000,1,0,,0,5:10,0,1,0,2,0,0,1
0,0,0,0,0,,0,,0,0,,0,3:18,0,1,-1,0,0,0,0
