ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
8,1,2,6,0,.000,4,.400,15,3,1.000,3,38:11,0,2,+9,15,2,2,2
5,0,1,7,3,.500,6,.412,17,2,1.000,2,32:38,1,1,-3,19,3,0,2
0,3,9,6,0,,0,.667,9,1,1.000,1,31:58,1,3,-3,13,0,1,10
0,0,6,6,3,.500,6,.462,13,3,1.000,3,30:59,0,2,-3,18,0,2,6
2,0,3,4,0,,0,.444,9,0,.000,2,27:28,2,1,-8,8,0,0,5
1,0,1,6,1,1.000,1,.600,10,0,,0,23:09,3,3,+5,13,1,1,4
3,0,1,1,1,.500,2,.250,4,0,,0,19:21,0,1,-4,3,1,0,1
1,0,1,5,1,.500,2,.556,9,2,1.000,2,15:12,1,2,+1,13,1,1,2
2,0,1,1,0,.000,1,.333,3,0,,0,13:25,0,0,0,2,0,0,1
0,0,0,1,0,,0,.250,4,0,,0,7:39,0,3,-9,2,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
