ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,1,7,8,3,.500,6,.571,14,4,1.000,4,37:20,0,2,+9,23,0,0,7
1,1,8,7,0,,0,.875,8,9,.750,12,36:01,2,4,+2,23,1,2,10
3,0,5,8,2,.400,5,.571,14,1,1.000,1,35:27,1,5,-6,19,1,2,6
2,0,2,5,2,.400,5,.500,10,4,1.000,4,32:00,0,0,-2,16,0,2,2
1,0,1,1,0,.000,1,.500,2,3,1.000,3,9:00,0,4,+1,5,0,2,1
6,0,4,2,2,.333,6,.333,6,0,,0,27:39,1,4,+12,6,0,2,5
2,2,0,2,1,.333,3,.333,6,0,,0,21:15,1,0,+3,5,0,1,1
0,0,4,4,2,.400,5,.500,8,0,,0,14:54,0,0,+2,10,0,2,4
2,0,1,2,0,,0,.500,4,0,,0,14:25,3,0,+9,4,0,2,4
0,0,3,2,0,,0,.500,4,0,,0,11:59,2,4,+5,4,0,1,5
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
