ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
5,4,6,5,0,,0,.833,6,2,.400,5,35:53,3,2,+25,12,0,4,9
6,0,7,9,4,.571,7,.529,17,3,1.000,3,33:51,2,2,+30,25,1,4,9
3,0,4,6,1,.250,4,.500,12,4,.800,5,30:45,0,0,+22,17,0,2,4
1,1,5,4,2,.400,5,.400,10,2,1.000,2,28:57,0,1,+8,12,3,2,5
0,0,4,0,0,.000,1,.000,3,0,,0,9:21,0,0,+6,0,0,0,4
4,0,3,4,4,.800,5,.667,6,0,,0,27:10,0,2,-8,12,1,1,3
3,0,3,3,1,1.000,1,.750,4,0,,0,22:46,0,4,+4,7,1,1,3
3,0,1,3,1,.500,2,.375,8,0,,0,19:03,1,0,+6,7,0,0,2
3,0,3,2,0,.000,3,.250,8,1,1.000,1,13:04,0,0,-8,5,0,0,3
0,0,1,0,0,,0,.000,1,0,,0,12:07,0,2,-11,0,0,1,1
0,0,0,0,0,,0,.000,2,0,,0,7:03,0,2,-4,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
