ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,2,7,10,0,,0,.769,13,6,.600,10,36:03,7,2,-13,26,0,4,14
1,0,1,4,1,.333,3,.364,11,0,,0,32:27,0,2,-29,9,0,4,1
3,0,5,5,2,.400,5,.417,12,1,1.000,1,30:35,0,2,-4,13,0,2,5
0,0,4,4,1,.250,4,.308,13,0,,0,23:23,0,1,-16,9,2,0,4
5,0,3,3,0,.000,2,.333,9,0,,0,20:42,2,4,-19,6,1,0,5
5,0,2,0,0,.000,3,.000,5,1,.500,2,26:59,1,4,-2,1,1,2,3
2,0,3,6,3,.429,7,.462,13,2,1.000,2,25:55,0,3,-5,17,0,0,3
4,0,3,2,0,,0,.500,4,2,1.000,2,15:33,0,3,+16,6,1,0,3
0,0,1,1,0,.000,1,.333,3,1,1.000,1,12:32,0,0,-11,3,0,1,1
0,1,2,0,0,,0,.000,1,0,,0,10:49,2,1,+4,0,0,1,4
1,0,0,2,1,1.000,1,1.000,2,0,,0,2:31,0,0,+7,5,0,0,0
0,0,0,0,0,,0,,0,0,,0,2:31,0,0,+7,0,0,0,0
,,,,,,,,,,,,,,,,,,,
