ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,4,9,5,0,,0,.833,6,3,1.000,3,30:46,2,3,-1,13,0,1,11
4,0,5,7,1,.500,2,.500,14,6,.750,8,30:39,0,2,-16,21,0,2,5
1,0,5,1,1,.333,3,.250,4,0,,0,26:52,0,3,-15,3,2,1,5
3,0,4,2,0,,0,.667,3,0,,0,18:27,1,1,-10,4,0,0,5
3,1,1,0,0,.000,2,.000,4,1,.500,2,14:06,0,0,-9,1,0,3,1
2,0,2,3,0,.000,2,.429,7,0,,0,27:01,1,2,-18,6,0,2,3
0,1,1,5,3,.500,6,.417,12,0,,0,23:38,0,1,-5,13,0,0,1
1,1,4,3,0,.000,1,.250,12,5,.833,6,22:06,1,2,-3,11,0,0,5
0,0,0,3,0,.000,1,.429,7,0,.000,1,13:53,3,1,-12,6,0,0,3
2,2,2,0,0,.000,1,.000,2,0,,0,12:46,0,2,+14,0,0,1,2
2,0,4,1,0,,0,.250,4,1,.500,2,10:30,0,0,+2,3,0,0,4
0,0,1,1,1,1.000,1,.333,3,2,1.000,2,5:55,1,0,0,5,0,0,2
0,0,0,0,0,,0,,0,0,,0,3:21,0,1,-2,0,0,0,0
