ast,blk,date_game,drb,fg,fg3,fg3a,fga,ft,fta,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,orb,overtimes,pf,plus_minus,pts,stl,tov,trb,wins
24.0,4.0,"Tue, Oct 17, 2017",37.0,36.0,8.0,32.0,88.0,19.0,25.0,@,L,8:01p,L 1,1,Cleveland Cavaliers,102,9.0,,24.0,-15.0,99,11.0,10.0,46.0,0
23.0,2.0,"Wed, Oct 18, 2017",32.0,39.0,11.0,28.0,91.0,11.0,21.0,,L,7:30p,L 2,2,Milwaukee Bucks,108,11.0,,27.0,-40.0,100,12.0,12.0,43.0,0
16.0,5.0,"Fri, Oct 20, 2017",41.0,35.0,10.0,29.0,84.0,22.0,32.0,@,W,7:00p,W 1,2,Philadelphia 76ers,92,14.0,,24.0,50.0,102,4.0,19.0,55.0,1
26.0,7.0,"Tue, Oct 24, 2017",36.0,37.0,14.0,29.0,75.0,22.0,27.0,,W,7:30p,W 2,2,New York Knicks,89,5.0,,24.0,105.0,110,11.0,12.0,41.0,2
21.0,4.0,"Thu, Oct 26, 2017",39.0,33.0,11.0,30.0,78.0,19.0,22.0,@,W,8:00p,W 3,2,Milwaukee Bucks,89,6.0,,14.0,35.0,96,7.0,15.0,45.0,3
15.0,5.0,"Sat, Oct 28, 2017",30.0,34.0,6.0,23.0,81.0,22.0,26.0,@,W,8:00p,W 4,2,Miami Heat,90,11.0,,14.0,30.0,96,11.0,12.0,41.0,4
24.0,6.0,"Mon, Oct 30, 2017",39.0,42.0,11.0,31.0,88.0,13.0,16.0,,W,7:30p,W 5,2,San Antonio Spurs,94,15.0,,22.0,70.0,108,10.0,13.0,54.0,5
30.0,3.0,"Wed, Nov 1, 2017",36.0,40.0,17.0,41.0,82.0,16.0,19.0,,W,7:30p,W 6,2,Sacramento Kings,86,16.0,,19.0,135.0,113,10.0,16.0,52.0,6
23.0,2.0,"Fri, Nov 3, 2017",38.0,36.0,13.0,28.0,84.0,16.0,24.0,@,W,9:30p,W 7,2,Oklahoma City Thunder,94,11.0,,14.0,35.0,101,6.0,10.0,49.0,7
26.0,1.0,"Sun, Nov 5, 2017",45.0,39.0,11.0,33.0,89.0,15.0,20.0,@,W,6:00p,W 8,2,Orlando Magic,88,9.0,,21.0,80.0,104,10.0,13.0,54.0,8
28.0,3.0,"Mon, Nov 6, 2017",35.0,39.0,14.0,36.0,81.0,18.0,22.0,@,W,7:30p,W 9,2,Atlanta Hawks,107,7.0,,21.0,15.0,110,3.0,13.0,42.0,9
20.0,6.0,"Wed, Nov 8, 2017",32.0,38.0,7.0,29.0,98.0,24.0,31.0,,W,8:00p,W 10,2,Los Angeles Lakers,96,16.0,,20.0,55.0,107,8.0,13.0,48.0,10
15.0,5.0,"Fri, Nov 10, 2017",40.0,30.0,9.0,31.0,84.0,21.0,25.0,,W,7:30p,W 11,2,Charlotte Hornets,87,9.0,,26.0,15.0,90,6.0,13.0,49.0,11
24.0,2.0,"Sun, Nov 12, 2017",31.0,35.0,10.0,26.0,87.0,15.0,19.0,,W,3:30p,W 12,2,Toronto Raptors,94,15.0,,18.0,5.0,95,9.0,14.0,46.0,12
