ast,blk,date_game,drb,fg,fg3,fg3a,fga,ft,fta,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,orb,overtimes,pf,plus_minus,pts,stl,tov,trb,wins
22.0,2.0,"Wed, Oct 18, 2017",32.0,45.0,12.0,30.0,94.0,29.0,32.0,@,L,7:00p,L 1,1,Indiana Pacers,140,11.0,,25.0,-45.0,131,7.0,20.0,43.0,0
22.0,6.0,"Fri, Oct 20, 2017",33.0,46.0,9.0,27.0,92.0,25.0,35.0,,W,7:30p,W 1,1,Orlando Magic,121,15.0,,17.0,25.0,126,13.0,18.0,48.0,1
27.0,8.0,"Sun, Oct 22, 2017",38.0,41.0,11.0,27.0,87.0,23.0,34.0,,W,3:30p,W 2,1,Atlanta Hawks,104,13.0,,27.0,60.0,116,12.0,18.0,51.0,2
21.0,4.0,"Tue, Oct 24, 2017",35.0,40.0,11.0,35.0,96.0,30.0,34.0,@,L,7:00p,L 1,2,Orlando Magic,125,14.0,,27.0,-20.0,121,8.0,15.0,49.0,2
22.0,3.0,"Wed, Oct 25, 2017",28.0,40.0,17.0,46.0,93.0,15.0,21.0,,W,7:30p,W 1,2,Cleveland Cavaliers,107,10.0,,22.0,25.0,112,11.0,12.0,38.0,3
18.0,1.0,"Fri, Oct 27, 2017",30.0,30.0,11.0,30.0,75.0,15.0,21.0,@,L,7:30p,L 1,3,New York Knicks,107,5.0,,20.0,-105.0,86,5.0,16.0,35.0,3
24.0,4.0,"Sun, Oct 29, 2017",39.0,39.0,12.0,31.0,96.0,21.0,31.0,,L,6:00p,L 2,4,Denver Nuggets,124,17.0,,18.0,-65.0,111,5.0,15.0,56.0,3
15.0,4.0,"Tue, Oct 31, 2017",37.0,42.0,9.0,31.0,102.0,21.0,30.0,,L,7:30p,L 3,5,Phoenix Suns,122,7.0,,22.0,-40.0,114,9.0,7.0,44.0,3
23.0,5.0,"Fri, Nov 3, 2017",35.0,37.0,9.0,38.0,91.0,29.0,38.0,@,L,10:30p,L 4,6,Los Angeles Lakers,124,8.0,,22.0,-60.0,112,8.0,16.0,43.0,3
20.0,4.0,"Mon, Nov 6, 2017",37.0,35.0,8.0,32.0,87.0,20.0,29.0,@,W,9:00p,W 1,6,Phoenix Suns,92,11.0,,30.0,30.0,98,10.0,16.0,48.0,4
22.0,6.0,"Tue, Nov 7, 2017",39.0,38.0,11.0,35.0,89.0,17.0,22.0,@,L,9:00p,L 1,7,Denver Nuggets,112,8.0,,16.0,-40.0,104,12.0,25.0,47.0,4
25.0,4.0,"Fri, Nov 10, 2017",38.0,39.0,12.0,38.0,91.0,11.0,19.0,@,W,10:00p,W 1,7,Portland Trail Blazers,97,11.0,,13.0,20.0,101,7.0,10.0,49.0,5
13.0,4.0,"Sat, Nov 11, 2017",31.0,35.0,7.0,23.0,76.0,29.0,39.0,@,L,9:00p,L 1,8,Utah Jazz,114,10.0,,22.0,-40.0,106,7.0,17.0,41.0,5
