ast,blk,date_game,drb,fg,fg3,fg3a,fga,ft,fta,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,orb,overtimes,pf,plus_minus,pts,stl,tov,trb,wins
27.0,4.0,"Wed, Oct 18, 2017",32.0,38.0,17.0,45.0,86.0,18.0,21.0,,L,8:30p,L 1,1,Atlanta Hawks,117,9.0,,19.0,-30.0,111,5.0,15.0,41.0,0
19.0,7.0,"Fri, Oct 20, 2017",29.0,31.0,11.0,33.0,75.0,15.0,21.0,,L,8:30p,L 2,2,Sacramento Kings,93,7.0,,13.0,-25.0,88,8.0,12.0,36.0,0
19.0,0.0,"Sat, Oct 21, 2017",33.0,31.0,13.0,31.0,84.0,16.0,21.0,@,L,8:00p,L 3,3,Houston Rockets,107,8.0,,19.0,-80.0,91,6.0,14.0,41.0,0
21.0,0.0,"Mon, Oct 23, 2017",28.0,38.0,9.0,29.0,96.0,18.0,30.0,,L,8:30p,L 4,4,Golden State Warriors,133,14.0,,20.0,-150.0,103,11.0,12.0,42.0,0
20.0,4.0,"Wed, Oct 25, 2017",31.0,36.0,11.0,26.0,74.0,20.0,29.0,,W,8:30p,W 1,4,Memphis Grizzlies,94,4.0,,20.0,45.0,103,6.0,11.0,35.0,1
20.0,3.0,"Thu, Oct 26, 2017",35.0,32.0,10.0,34.0,94.0,17.0,20.0,@,L,8:00p,L 1,5,Memphis Grizzlies,96,18.0,,22.0,-25.0,91,10.0,14.0,53.0,1
22.0,2.0,"Sat, Oct 28, 2017",30.0,38.0,19.0,40.0,74.0,15.0,19.0,,L,8:30p,L 2,6,Philadelphia 76ers,112,3.0,,15.0,-10.0,110,7.0,17.0,33.0,1
17.0,3.0,"Mon, Oct 30, 2017",33.0,34.0,12.0,24.0,76.0,9.0,11.0,@,L,9:00p,L 3,7,Utah Jazz,104,9.0,,16.0,-75.0,89,4.0,24.0,42.0,1
20.0,5.0,"Wed, Nov 1, 2017",29.0,35.0,12.0,36.0,89.0,16.0,20.0,@,L,10:30p,L 4,8,Los Angeles Clippers,119,9.0,,22.0,-105.0,98,8.0,14.0,38.0,1
19.0,7.0,"Fri, Nov 3, 2017",38.0,34.0,9.0,34.0,88.0,17.0,22.0,,L,8:30p,L 5,9,New Orleans Pelicans,99,9.0,,24.0,-25.0,94,4.0,15.0,47.0,1
18.0,2.0,"Sat, Nov 4, 2017",24.0,40.0,10.0,27.0,87.0,9.0,12.0,@,L,8:00p,L 6,10,Minnesota Timberwolves,112,7.0,,19.0,-65.0,99,7.0,15.0,31.0,1
26.0,8.0,"Tue, Nov 7, 2017",42.0,43.0,11.0,30.0,91.0,16.0,20.0,@,W,7:00p,W 1,10,Washington Wizards,99,11.0,,23.0,70.0,113,6.0,11.0,53.0,2
21.0,3.0,"Sat, Nov 11, 2017",33.0,39.0,10.0,34.0,92.0,16.0,21.0,,L,8:30p,L 1,11,Cleveland Cavaliers,111,9.0,,26.0,-35.0,104,7.0,10.0,42.0,2
18.0,4.0,"Sun, Nov 12, 2017",30.0,37.0,11.0,37.0,87.0,14.0,18.0,@,L,7:00p,L 2,12,Oklahoma City Thunder,112,11.0,,20.0,-65.0,99,9.0,20.0,41.0,2
18.0,4.0,"Tue, Nov 14, 2017",35.0,33.0,10.0,34.0,81.0,15.0,18.0,,L,8:30p,L 3,13,San Antonio Spurs,97,5.0,,23.0,-30.0,91,7.0,15.0,40.0,2
18.0,3.0,"Fri, Nov 17, 2017",30.0,32.0,8.0,38.0,86.0,15.0,17.0,,L,8:30p,L 4,14,Minnesota Timberwolves,111,11.0,,20.0,-120.0,87,3.0,11.0,41.0,2
27.0,2.0,"Sat, Nov 18, 2017",42.0,38.0,19.0,38.0,79.0,16.0,19.0,,W,9:00p,W 1,14,Milwaukee Bucks,79,7.0,,26.0,160.0,111,7.0,16.0,49.0,3
18.0,3.0,"Mon, Nov 20, 2017",37.0,39.0,7.0,33.0,96.0,17.0,20.0,,L,8:30p,L 1,15,Boston Celtics,110,8.0,OT,22.0,-40.0,102,7.0,11.0,45.0,3
23.0,2.0,"Wed, Nov 22, 2017",36.0,39.0,9.0,28.0,91.0,8.0,16.0,@,W,8:00p,W 1,15,Memphis Grizzlies,94,4.0,,14.0,5.0,95,9.0,8.0,40.0,4
25.0,5.0,"Sat, Nov 25, 2017",35.0,37.0,15.0,35.0,75.0,8.0,11.0,,W,8:30p,W 2,15,Oklahoma City Thunder,81,8.0,,18.0,75.0,97,11.0,17.0,43.0,5
25.0,0.0,"Mon, Nov 27, 2017",36.0,41.0,14.0,32.0,85.0,12.0,17.0,@,L,8:30p,L 1,16,San Antonio Spurs,115,4.0,,19.0,-35.0,108,7.0,11.0,40.0,5
26.0,3.0,"Wed, Nov 29, 2017",37.0,39.0,9.0,27.0,84.0,17.0,21.0,,L,8:30p,L 2,17,Brooklyn Nets,109,7.0,,23.0,-25.0,104,5.0,11.0,44.0,5
24.0,7.0,"Sat, Dec 2, 2017",39.0,36.0,16.0,35.0,79.0,20.0,26.0,,W,2:00p,W 1,17,Los Angeles Clippers,82,15.0,,20.0,130.0,108,4.0,15.0,54.0,6
26.0,6.0,"Mon, Dec 4, 2017",37.0,49.0,12.0,26.0,86.0,12.0,17.0,,W,8:30p,W 2,17,Denver Nuggets,105,5.0,,18.0,85.0,122,4.0,7.0,42.0,7
19.0,5.0,"Wed, Dec 6, 2017",39.0,34.0,9.0,28.0,86.0,13.0,17.0,@,L,7:30p,L 1,18,Boston Celtics,97,6.0,,12.0,-35.0,90,7.0,9.0,45.0,7
18.0,2.0,"Fri, Dec 8, 2017",32.0,35.0,10.0,24.0,75.0,22.0,26.0,@,L,8:00p,L 2,19,Milwaukee Bucks,109,4.0,,22.0,-35.0,102,6.0,11.0,36.0,7
23.0,5.0,"Sun, Dec 10, 2017",27.0,37.0,11.0,31.0,81.0,7.0,9.0,@,L,7:00p,L 3,20,Minnesota Timberwolves,97,6.0,,22.0,-25.0,92,6.0,10.0,33.0,7
17.0,2.0,"Tue, Dec 12, 2017",41.0,38.0,9.0,24.0,89.0,10.0,12.0,,W,8:30p,W 1,20,San Antonio Spurs,89,8.0,,19.0,30.0,95,8.0,6.0,49.0,8
25.0,1.0,"Thu, Dec 14, 2017",23.0,37.0,10.0,29.0,82.0,13.0,17.0,@,L,10:30p,L 1,21,Golden State Warriors,112,8.0,,16.0,-75.0,97,7.0,11.0,31.0,8
23.0,4.0,"Sat, Dec 16, 2017",34.0,39.0,10.0,28.0,80.0,8.0,9.0,@,L,8:30p,L 2,22,San Antonio Spurs,98,4.0,,16.0,-10.0,96,4.0,9.0,38.0,8
21.0,5.0,"Mon, Dec 18, 2017",34.0,32.0,11.0,37.0,88.0,16.0,17.0,,L,8:30p,L 3,23,Phoenix Suns,97,8.0,,18.0,-30.0,91,10.0,15.0,42.0,8
22.0,7.0,"Wed, Dec 20, 2017",33.0,40.0,14.0,30.0,75.0,16.0,20.0,,W,8:30p,W 1,23,Detroit Pistons,93,4.0,,17.0,85.0,110,6.0,12.0,37.0,9
28.0,2.0,"Fri, Dec 22, 2017",19.0,38.0,17.0,35.0,75.0,8.0,11.0,@,L,8:00p,L 1,24,Miami Heat,113,3.0,,12.0,-60.0,101,5.0,8.0,22.0,9
