ast,blk,date_game,drb,fg,fg3,fg3a,fga,ft,fta,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,orb,overtimes,pf,plus_minus,pts,stl,tov,trb,wins
34.0,9.0,"Tue, Oct 17, 2017",35.0,43.0,16.0,30.0,80.0,19.0,21.0,,L,10:30p,L 1,1,Houston Rockets,122,6.0,,25.0,-5.0,121,5.0,17.0,41.0,0
29.0,8.0,"Fri, Oct 20, 2017",39.0,47.0,18.0,41.0,92.0,16.0,20.0,@,W,9:30p,W 1,1,New Orleans Pelicans,120,10.0,,23.0,40.0,128,6.0,18.0,49.0,1
20.0,7.0,"Sat, Oct 21, 2017",34.0,33.0,12.0,38.0,84.0,23.0,27.0,@,L,8:00p,L 1,2,Memphis Grizzlies,111,12.0,,28.0,-50.0,101,10.0,17.0,46.0,1
33.0,8.0,"Mon, Oct 23, 2017",40.0,48.0,15.0,39.0,86.0,22.0,26.0,@,W,8:30p,W 1,2,Dallas Mavericks,103,10.0,,23.0,150.0,133,6.0,16.0,50.0,2
32.0,7.0,"Wed, Oct 25, 2017",31.0,43.0,12.0,26.0,77.0,19.0,22.0,,W,10:30p,W 2,2,Toronto Raptors,112,6.0,,15.0,25.0,117,10.0,17.0,37.0,3
33.0,13.0,"Fri, Oct 27, 2017",38.0,46.0,10.0,38.0,95.0,18.0,20.0,,W,10:30p,W 3,2,Washington Wizards,117,15.0,,20.0,15.0,120,7.0,17.0,53.0,4
29.0,11.0,"Sun, Oct 29, 2017",30.0,44.0,10.0,27.0,77.0,9.0,12.0,,L,8:30p,L 1,3,Detroit Pistons,115,10.0,,14.0,-40.0,107,3.0,25.0,40.0,4
37.0,8.0,"Mon, Oct 30, 2017",32.0,52.0,14.0,29.0,89.0,23.0,30.0,@,W,10:30p,W 1,3,Los Angeles Clippers,113,14.0,,23.0,140.0,141,8.0,12.0,46.0,5
30.0,12.0,"Thu, Nov 2, 2017",36.0,43.0,14.0,28.0,83.0,12.0,16.0,@,W,8:00p,W 2,3,San Antonio Spurs,92,5.0,,20.0,100.0,112,11.0,14.0,41.0,6
38.0,4.0,"Sat, Nov 4, 2017",34.0,50.0,18.0,40.0,91.0,9.0,17.0,@,W,9:00p,W 3,3,Denver Nuggets,108,7.0,,23.0,95.0,127,13.0,13.0,41.0,7
20.0,10.0,"Mon, Nov 6, 2017",38.0,32.0,11.0,32.0,87.0,22.0,24.0,,W,10:30p,W 4,3,Miami Heat,80,13.0,,21.0,85.0,97,12.0,14.0,51.0,8
37.0,9.0,"Wed, Nov 8, 2017",42.0,48.0,15.0,36.0,85.0,14.0,18.0,,W,10:30p,W 5,3,Minnesota Timberwolves,101,3.0,,23.0,120.0,125,10.0,19.0,45.0,9
31.0,11.0,"Sat, Nov 11, 2017",35.0,48.0,14.0,27.0,82.0,25.0,26.0,,W,8:30p,W 6,3,Philadelphia 76ers,114,4.0,,23.0,105.0,135,15.0,22.0,39.0,10
35.0,5.0,"Mon, Nov 13, 2017",38.0,44.0,8.0,23.0,88.0,14.0,16.0,,W,10:30p,W 7,3,Orlando Magic,100,12.0,,21.0,50.0,110,4.0,16.0,50.0,11
22.0,10.0,"Thu, Nov 16, 2017",40.0,33.0,10.0,32.0,82.0,12.0,19.0,@,L,8:00p,L 1,4,Boston Celtics,92,7.0,,24.0,-20.0,88,9.0,15.0,47.0,11
25.0,6.0,"Sat, Nov 18, 2017",37.0,50.0,7.0,23.0,91.0,17.0,20.0,@,W,7:30p,W 1,4,Philadelphia 76ers,116,11.0,,18.0,40.0,124,5.0,12.0,48.0,12
29.0,14.0,"Sun, Nov 19, 2017",51.0,46.0,10.0,24.0,90.0,16.0,23.0,@,W,6:00p,W 2,4,Brooklyn Nets,111,6.0,,27.0,35.0,118,8.0,15.0,57.0,13
22.0,8.0,"Wed, Nov 22, 2017",32.0,33.0,10.0,31.0,80.0,15.0,18.0,@,L,8:00p,L 1,5,Oklahoma City Thunder,108,7.0,,20.0,-85.0,91,11.0,22.0,39.0,13
36.0,11.0,"Fri, Nov 24, 2017",43.0,53.0,16.0,36.0,91.0,21.0,21.0,,W,10:30p,W 1,5,Chicago Bulls,94,6.0,,15.0,245.0,143,11.0,11.0,49.0,14
30.0,6.0,"Sat, Nov 25, 2017",33.0,39.0,10.0,33.0,94.0,22.0,27.0,,W,8:30p,W 2,5,New Orleans Pelicans,95,11.0,,24.0,75.0,110,11.0,9.0,44.0,15
31.0,6.0,"Mon, Nov 27, 2017",27.0,40.0,16.0,37.0,80.0,10.0,14.0,,L,10:30p,L 1,6,Sacramento Kings,110,9.0,,15.0,-20.0,106,9.0,14.0,36.0,15
30.0,4.0,"Wed, Nov 29, 2017",37.0,47.0,12.0,30.0,94.0,21.0,28.0,@,W,10:30p,W 1,6,Los Angeles Lakers,123,12.0,OT,19.0,20.0,127,10.0,22.0,49.0,16
46.0,11.0,"Fri, Dec 1, 2017",35.0,55.0,12.0,24.0,88.0,11.0,11.0,@,W,7:00p,W 2,6,Orlando Magic,112,7.0,,16.0,105.0,133,9.0,19.0,42.0,17
32.0,4.0,"Sun, Dec 3, 2017",34.0,47.0,11.0,30.0,84.0,18.0,24.0,@,W,7:00p,W 3,6,Miami Heat,95,7.0,,14.0,140.0,123,4.0,9.0,41.0,18
36.0,5.0,"Mon, Dec 4, 2017",35.0,45.0,16.0,33.0,87.0,19.0,27.0,@,W,8:00p,W 4,6,New Orleans Pelicans,115,5.0,,17.0,50.0,125,14.0,16.0,40.0,19
26.0,12.0,"Wed, Dec 6, 2017",39.0,40.0,11.0,30.0,84.0,10.0,13.0,@,W,8:00p,W 5,6,Charlotte Hornets,87,8.0,,20.0,70.0,101,8.0,15.0,47.0,20
29.0,15.0,"Fri, Dec 8, 2017",40.0,39.0,7.0,26.0,81.0,17.0,22.0,@,W,7:00p,W 6,6,Detroit Pistons,98,5.0,,19.0,20.0,102,5.0,14.0,45.0,21
26.0,9.0,"Mon, Dec 11, 2017",36.0,44.0,10.0,20.0,80.0,13.0,17.0,,W,10:30p,W 7,6,Portland Trail Blazers,104,6.0,,16.0,35.0,111,5.0,14.0,42.0,22
35.0,4.0,"Thu, Dec 14, 2017",37.0,47.0,11.0,22.0,78.0,7.0,9.0,,W,10:30p,W 8,6,Dallas Mavericks,97,4.0,,22.0,75.0,112,7.0,16.0,41.0,23
25.0,10.0,"Mon, Dec 18, 2017",46.0,43.0,11.0,34.0,107.0,19.0,21.0,@,W,10:30p,W 9,6,Los Angeles Lakers,114,15.0,OT,26.0,10.0,116,6.0,14.0,61.0,24
26.0,8.0,"Wed, Dec 20, 2017",30.0,34.0,7.0,21.0,74.0,22.0,25.0,,W,10:30p,W 10,6,Memphis Grizzlies,84,14.0,,19.0,65.0,97,9.0,16.0,44.0,25
24.0,13.0,"Fri, Dec 22, 2017",32.0,42.0,7.0,24.0,85.0,22.0,27.0,,W,10:30p,W 11,6,Los Angeles Lakers,106,10.0,,17.0,35.0,113,9.0,15.0,42.0,26
25.0,8.0,"Sat, Dec 23, 2017",27.0,32.0,3.0,27.0,84.0,14.0,17.0,,L,8:30p,L 1,7,Denver Nuggets,96,11.0,,14.0,-75.0,81,14.0,16.0,38.0,26
28.0,7.0,"Mon, Dec 25, 2017",37.0,38.0,10.0,37.0,82.0,13.0,17.0,,W,3:00p,W 1,7,Cleveland Cavaliers,92,10.0,,18.0,35.0,99,7.0,15.0,47.0,27
37.0,7.0,"Wed, Dec 27, 2017",46.0,51.0,11.0,23.0,86.0,13.0,17.0,,W,10:30p,W 2,7,Utah Jazz,101,4.0,,18.0,125.0,126,8.0,16.0,50.0,28
32.0,5.0,"Fri, Dec 29, 2017",35.0,40.0,8.0,22.0,87.0,12.0,13.0,,L,10:30p,L 1,8,Charlotte Hornets,111,8.0,,25.0,-55.0,100,6.0,17.0,43.0,28
37.0,6.0,"Sat, Dec 30, 2017",31.0,50.0,18.0,33.0,85.0,23.0,25.0,,W,8:30p,W 1,8,Memphis Grizzlies,128,7.0,,17.0,65.0,141,3.0,10.0,38.0,29
