ast,blk,date_game,drb,fg,fg3,fg3a,fga,ft,fta,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,orb,overtimes,pf,plus_minus,pts,stl,tov,trb,wins
29.0,9.0,"Wed, Oct 18, 2017",33.0,53.0,9.0,34.0,102.0,25.0,32.0,,W,7:00p,W 1,0,Brooklyn Nets,131,14.0,,25.0,45.0,140,12.0,14.0,47.0,1
15.0,4.0,"Fri, Oct 20, 2017",33.0,35.0,4.0,18.0,78.0,22.0,33.0,,L,7:00p,L 1,1,Portland Trail Blazers,114,6.0,,17.0,-90.0,96,1.0,12.0,39.0,1
18.0,4.0,"Sat, Oct 21, 2017",32.0,43.0,7.0,19.0,96.0,15.0,21.0,@,L,8:00p,L 2,2,Miami Heat,112,13.0,,18.0,-20.0,108,9.0,10.0,45.0,1
31.0,2.0,"Tue, Oct 24, 2017",34.0,56.0,10.0,22.0,84.0,8.0,11.0,@,W,8:00p,W 1,2,Minnesota Timberwolves,107,8.0,,21.0,115.0,130,8.0,17.0,42.0,2
13.0,2.0,"Wed, Oct 25, 2017",27.0,28.0,10.0,29.0,83.0,30.0,35.0,@,L,8:00p,L 1,3,Oklahoma City Thunder,114,14.0,,23.0,-90.0,96,13.0,19.0,41.0,2
21.0,3.0,"Sun, Oct 29, 2017",38.0,36.0,10.0,22.0,77.0,15.0,20.0,,W,4:30p,W 1,3,San Antonio Spurs,94,6.0,,20.0,15.0,97,9.0,19.0,44.0,3
25.0,7.0,"Tue, Oct 31, 2017",39.0,36.0,12.0,29.0,85.0,17.0,22.0,,W,7:00p,W 2,3,Sacramento Kings,83,14.0,,17.0,90.0,101,8.0,14.0,53.0,4
35.0,1.0,"Wed, Nov 1, 2017",35.0,49.0,16.0,26.0,90.0,10.0,13.0,@,W,7:00p,W 3,3,Cleveland Cavaliers,107,8.0,,23.0,85.0,124,9.0,11.0,43.0,5
25.0,6.0,"Fri, Nov 3, 2017",32.0,45.0,8.0,28.0,97.0,12.0,19.0,@,L,7:00p,L 1,4,Philadelphia 76ers,121,8.0,,18.0,-55.0,110,6.0,11.0,40.0,5
24.0,2.0,"Sun, Nov 5, 2017",30.0,37.0,12.0,25.0,79.0,15.0,17.0,@,L,7:30p,L 2,5,New York Knicks,108,4.0,,17.0,-35.0,101,6.0,12.0,34.0,5
19.0,4.0,"Tue, Nov 7, 2017",30.0,44.0,9.0,24.0,93.0,15.0,18.0,,L,7:00p,L 3,6,New Orleans Pelicans,117,11.0,,21.0,-25.0,112,4.0,10.0,41.0,5
22.0,3.0,"Wed, Nov 8, 2017",31.0,38.0,7.0,24.0,88.0,14.0,18.0,@,L,7:00p,L 4,7,Detroit Pistons,114,7.0,,24.0,-85.0,97,8.0,15.0,38.0,5
27.0,3.0,"Fri, Nov 10, 2017",44.0,43.0,12.0,29.0,84.0,7.0,12.0,@,W,8:00p,W 1,7,Chicago Bulls,87,7.0,,17.0,90.0,105,8.0,18.0,51.0,6
18.0,7.0,"Sun, Nov 12, 2017",34.0,37.0,8.0,22.0,83.0,13.0,21.0,,L,6:00p,L 1,8,Houston Rockets,118,7.0,,15.0,-115.0,95,5.0,13.0,41.0,6
29.0,6.0,"Wed, Nov 15, 2017",31.0,43.0,12.0,24.0,85.0,18.0,20.0,@,W,8:00p,W 1,8,Memphis Grizzlies,113,5.0,,17.0,15.0,116,6.0,12.0,36.0,7
22.0,5.0,"Fri, Nov 17, 2017",38.0,39.0,15.0,28.0,89.0,14.0,21.0,,W,7:00p,W 2,8,Detroit Pistons,100,13.0,,13.0,35.0,107,4.0,10.0,51.0,8
33.0,7.0,"Sun, Nov 19, 2017",33.0,51.0,11.0,23.0,85.0,7.0,8.0,@,W,5:00p,W 3,8,Miami Heat,95,9.0,,14.0,125.0,120,9.0,12.0,42.0,9
25.0,4.0,"Mon, Nov 20, 2017",40.0,37.0,8.0,20.0,89.0,23.0,29.0,@,W,7:00p,W 4,8,Orlando Magic,97,8.0,,25.0,40.0,105,17.0,12.0,48.0,10
19.0,3.0,"Fri, Nov 24, 2017",31.0,38.0,11.0,26.0,83.0,20.0,27.0,,W,8:00p,W 5,8,Toronto Raptors,104,10.0,,18.0,15.0,107,10.0,16.0,41.0,11
20.0,2.0,"Sat, Nov 25, 2017",26.0,38.0,7.0,23.0,78.0,15.0,15.0,,L,8:00p,L 1,9,Boston Celtics,108,10.0,,14.0,-50.0,98,9.0,18.0,36.0,11
25.0,8.0,"Mon, Nov 27, 2017",35.0,42.0,15.0,26.0,79.0,22.0,26.0,,W,7:00p,W 1,9,Orlando Magic,109,8.0,,18.0,60.0,121,7.0,14.0,43.0,12
18.0,7.0,"Wed, Nov 29, 2017",30.0,42.0,7.0,28.0,88.0,6.0,6.0,@,L,8:00p,L 1,10,Houston Rockets,118,6.0,,17.0,-105.0,97,9.0,14.0,36.0,12
21.0,5.0,"Fri, Dec 1, 2017",31.0,45.0,8.0,26.0,102.0,17.0,22.0,@,L,7:30p,L 2,11,Toronto Raptors,120,15.0,,17.0,-25.0,115,7.0,10.0,46.0,12
28.0,5.0,"Mon, Dec 4, 2017",37.0,46.0,11.0,26.0,86.0,12.0,15.0,,W,7:00p,W 1,11,New York Knicks,97,7.0,,20.0,90.0,115,10.0,16.0,44.0,13
21.0,5.0,"Wed, Dec 6, 2017",32.0,39.0,12.0,34.0,87.0,8.0,10.0,,W,7:00p,W 2,11,Chicago Bulls,96,7.0,,14.0,10.0,98,7.0,13.0,39.0,14
21.0,3.0,"Fri, Dec 8, 2017",37.0,38.0,15.0,39.0,86.0,15.0,24.0,,W,7:00p,W 3,11,Cleveland Cavaliers,102,12.0,,19.0,20.0,106,7.0,8.0,49.0,15
24.0,2.0,"Sun, Dec 10, 2017",29.0,49.0,10.0,25.0,93.0,18.0,22.0,,W,5:00p,W 4,11,Denver Nuggets,116,11.0,OT,17.0,50.0,126,6.0,11.0,40.0,16
18.0,7.0,"Wed, Dec 13, 2017",31.0,40.0,11.0,31.0,89.0,4.0,6.0,,L,7:00p,L 1,12,Oklahoma City Thunder,100,11.0,,21.0,-25.0,95,11.0,13.0,42.0,16
21.0,4.0,"Fri, Dec 15, 2017",36.0,35.0,9.0,30.0,87.0,19.0,25.0,,L,7:00p,L 2,13,Detroit Pistons,104,15.0,,15.0,-30.0,98,6.0,13.0,51.0,16
21.0,7.0,"Sun, Dec 17, 2017",37.0,43.0,8.0,18.0,76.0,15.0,19.0,@,W,6:00p,W 1,13,Brooklyn Nets,97,6.0,,20.0,60.0,109,6.0,15.0,43.0,17
14.0,3.0,"Mon, Dec 18, 2017",29.0,37.0,7.0,21.0,79.0,30.0,38.0,,L,7:00p,L 1,14,Boston Celtics,112,9.0,,16.0,-5.0,111,12.0,12.0,38.0,17
19.0,5.0,"Wed, Dec 20, 2017",29.0,40.0,7.0,21.0,82.0,18.0,19.0,@,W,7:30p,W 1,14,Atlanta Hawks,95,8.0,,18.0,50.0,105,5.0,9.0,37.0,18
31.0,9.0,"Sat, Dec 23, 2017",34.0,47.0,10.0,23.0,90.0,19.0,24.0,,W,7:00p,W 2,14,Brooklyn Nets,119,7.0,OT,25.0,20.0,123,8.0,8.0,41.0,19
