ast,blk,date_game,drb,fg,fg3,fg3a,fga,ft,fta,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,orb,overtimes,pf,plus_minus,pts,stl,tov,trb,wins
23.0,3.0,"Thu, Oct 19, 2017",42.0,42.0,12.0,33.0,107.0,12.0,13.0,@,W,10:30p,W 1,0,Los Angeles Lakers,92,17.0,,20.0,80.0,108,12.0,14.0,59.0,1
26.0,2.0,"Sat, Oct 21, 2017",42.0,48.0,12.0,26.0,88.0,22.0,30.0,,W,10:30p,W 2,0,Phoenix Suns,88,10.0,,32.0,210.0,130,12.0,12.0,52.0,2
21.0,4.0,"Tue, Oct 24, 2017",33.0,39.0,10.0,29.0,83.0,14.0,21.0,,W,10:30p,W 3,0,Utah Jazz,84,11.0,,16.0,90.0,102,12.0,13.0,44.0,3
11.0,5.0,"Thu, Oct 26, 2017",32.0,36.0,9.0,28.0,77.0,23.0,36.0,@,W,10:00p,W 4,0,Portland Trail Blazers,103,14.0,,19.0,5.0,104,4.0,11.0,46.0,4
19.0,6.0,"Sat, Oct 28, 2017",36.0,28.0,15.0,38.0,84.0,16.0,22.0,,L,10:30p,L 1,1,Detroit Pistons,95,15.0,,18.0,-40.0,87,6.0,18.0,51.0,4
21.0,3.0,"Mon, Oct 30, 2017",26.0,39.0,10.0,25.0,86.0,25.0,30.0,,L,10:30p,L 2,2,Golden State Warriors,141,9.0,,20.0,-140.0,113,4.0,12.0,35.0,4
27.0,5.0,"Wed, Nov 1, 2017",42.0,41.0,13.0,28.0,78.0,24.0,29.0,,W,10:30p,W 1,2,Dallas Mavericks,98,7.0,,20.0,105.0,119,9.0,16.0,49.0,5
18.0,7.0,"Sat, Nov 4, 2017",28.0,38.0,4.0,26.0,83.0,24.0,31.0,,L,3:30p,L 1,3,Memphis Grizzlies,113,15.0,,22.0,-45.0,104,7.0,13.0,43.0,5
16.0,4.0,"Sun, Nov 5, 2017",32.0,34.0,9.0,31.0,87.0,24.0,30.0,,L,3:30p,L 2,4,Miami Heat,104,18.0,,22.0,-15.0,101,11.0,15.0,50.0,5
20.0,4.0,"Tue, Nov 7, 2017",29.0,42.0,11.0,30.0,82.0,12.0,17.0,@,L,8:30p,L 3,5,San Antonio Spurs,120,10.0,,19.0,-65.0,107,6.0,17.0,39.0,5
