ast,blk,date_game,drb,fg,fg3,fg3a,fga,ft,fta,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,orb,overtimes,pf,plus_minus,pts,stl,tov,trb,wins
26.0,7.0,"Thu, Oct 19, 2017",28.0,39.0,11.0,38.0,90.0,16.0,22.0,,W,8:00p,W 1,0,New York Knicks,84,13.0,,22.0,105.0,105,14.0,18.0,41.0,1
15.0,4.0,"Sat, Oct 21, 2017",30.0,32.0,11.0,33.0,78.0,12.0,19.0,@,L,9:00p,L 1,1,Utah Jazz,96,8.0,,16.0,-40.0,87,14.0,17.0,38.0,1
26.0,6.0,"Sun, Oct 22, 2017",27.0,46.0,11.0,31.0,96.0,10.0,16.0,,L,7:00p,L 2,2,Minnesota Timberwolves,115,9.0,,22.0,-10.0,113,9.0,11.0,36.0,1
26.0,8.0,"Wed, Oct 25, 2017",33.0,43.0,10.0,27.0,89.0,18.0,26.0,,W,8:00p,W 1,2,Indiana Pacers,96,16.0,,27.0,90.0,114,8.0,21.0,49.0,2
19.0,9.0,"Fri, Oct 27, 2017",24.0,43.0,8.0,28.0,86.0,22.0,25.0,@,L,8:00p,L 1,3,Minnesota Timberwolves,119,11.0,,29.0,-15.0,116,8.0,14.0,35.0,2
28.0,8.0,"Sat, Oct 28, 2017",41.0,39.0,13.0,34.0,88.0,10.0,14.0,@,W,8:00p,W 1,3,Chicago Bulls,69,11.0,,17.0,160.0,101,16.0,11.0,52.0,3
24.0,3.0,"Tue, Oct 31, 2017",37.0,40.0,12.0,28.0,81.0,18.0,21.0,@,W,8:00p,W 2,3,Milwaukee Bucks,91,9.0,,20.0,95.0,110,6.0,15.0,46.0,4
20.0,7.0,"Fri, Nov 3, 2017",37.0,35.0,13.0,35.0,87.0,11.0,14.0,,L,9:30p,L 1,4,Boston Celtics,101,11.0,,18.0,-35.0,94,4.0,12.0,48.0,4
17.0,2.0,"Sun, Nov 5, 2017",26.0,40.0,11.0,33.0,89.0,8.0,15.0,@,L,9:00p,L 2,5,Portland Trail Blazers,103,6.0,,27.0,-20.0,99,11.0,11.0,32.0,4
15.0,2.0,"Tue, Nov 7, 2017",35.0,29.0,10.0,37.0,86.0,18.0,23.0,@,L,10:00p,L 3,6,Sacramento Kings,94,9.0,,17.0,-30.0,86,16.0,14.0,44.0,4
