ast,blk,date_game,drb,fg,fg3,fg3a,fga,ft,fta,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,orb,overtimes,pf,plus_minus,pts,stl,tov,trb,wins
28.0,6.0,"Thu, Oct 18, 2018",34.0,44.0,11.0,33.0,101.0,9.0,12.0,@,L,8:00p,L 1,1,Philadelphia 76ers,127,5.0,,23.0,-95.0,108,4.0,12.0,39.0,0
26.0,3.0,"Sat, Oct 20, 2018",36.0,44.0,7.0,21.0,87.0,21.0,26.0,,L,8:00p,L 2,2,Detroit Pistons,118,5.0,,20.0,-10.0,116,4.0,11.0,41.0,0
18.0,4.0,"Mon, Oct 22, 2018",27.0,41.0,13.0,23.0,80.0,14.0,21.0,@,L,8:30p,L 3,3,Dallas Mavericks,115,7.0,,29.0,-30.0,109,6.0,19.0,34.0,0
21.0,5.0,"Wed, Oct 24, 2018",36.0,37.0,10.0,29.0,77.0,28.0,35.0,,W,8:00p,W 1,3,Charlotte Hornets,110,9.0,,24.0,10.0,112,4.0,14.0,45.0,1
21.0,7.0,"Fri, Oct 26, 2018",26.0,37.0,16.0,36.0,85.0,16.0,22.0,@,L,7:00p,L 1,4,Charlotte Hornets,135,8.0,,16.0,-145.0,106,5.0,13.0,34.0,1
25.0,6.0,"Sat, Oct 27, 2018",44.0,36.0,12.0,33.0,83.0,13.0,16.0,@,W,7:30p,W 1,4,Atlanta Hawks,85,8.0,,21.0,60.0,97,14.0,20.0,52.0,2
25.0,3.0,"Mon, Oct 29, 2018",32.0,46.0,11.0,35.0,94.0,21.0,34.0,,L,8:00p,L 1,5,Golden State Warriors,149,12.0,,19.0,-125.0,124,6.0,9.0,44.0,2
27.0,6.0,"Wed, Oct 31, 2018",33.0,39.0,16.0,34.0,92.0,13.0,18.0,,L,8:00p,L 2,6,Denver Nuggets,108,10.0,OT,23.0,-5.0,107,7.0,13.0,43.0,2
33.0,7.0,"Fri, Nov 2, 2018",32.0,42.0,13.0,31.0,89.0,8.0,9.0,,L,8:00p,L 3,7,Indiana Pacers,107,11.0,,20.0,-10.0,105,2.0,14.0,43.0,2
15.0,4.0,"Sat, Nov 3, 2018",33.0,28.0,6.0,23.0,71.0,26.0,27.0,,L,8:00p,L 4,8,Houston Rockets,96,4.0,,18.0,-40.0,88,13.0,19.0,37.0,2
15.0,9.0,"Mon, Nov 5, 2018",37.0,43.0,8.0,30.0,95.0,22.0,30.0,@,W,7:30p,W 1,8,New York Knicks,115,11.0,2OT,22.0,5.0,116,9.0,19.0,48.0,3
