ast,blk,date_game,drb,fg,fg3,fg3a,fga,ft,fta,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,orb,overtimes,pf,plus_minus,pts,stl,tov,trb,wins
21.0,5.0,"Wed, Oct 17, 2018",32.0,39.0,6.0,24.0,92.0,19.0,22.0,,W,7:00p,W 1,0,Brooklyn Nets,100,14.0,,20.0,15.0,103,5.0,14.0,46.0,1
21.0,4.0,"Sat, Oct 20, 2018",31.0,41.0,18.0,40.0,101.0,18.0,23.0,@,W,8:00p,W 2,0,Chicago Bulls,116,18.0,,23.0,10.0,118,4.0,9.0,49.0,2
22.0,4.0,"Tue, Oct 23, 2018",34.0,51.0,12.0,33.0,108.0,19.0,27.0,,W,7:00p,W 3,0,Philadelphia 76ers,132,12.0,OT,24.0,5.0,133,4.0,8.0,46.0,3
21.0,5.0,"Thu, Oct 25, 2018",35.0,41.0,11.0,28.0,78.0,17.0,29.0,,W,7:00p,W 4,0,Cleveland Cavaliers,103,13.0,,21.0,35.0,110,4.0,20.0,48.0,4
16.0,3.0,"Sat, Oct 27, 2018",41.0,33.0,7.0,37.0,89.0,16.0,20.0,,L,7:00p,L 1,1,Boston Celtics,109,6.0,,24.0,-100.0,89,4.0,11.0,47.0,4
17.0,3.0,"Tue, Oct 30, 2018",39.0,37.0,8.0,30.0,88.0,23.0,27.0,@,L,7:30p,L 2,2,Boston Celtics,108,11.0,,28.0,-15.0,105,6.0,17.0,50.0,4
16.0,6.0,"Wed, Oct 31, 2018",41.0,39.0,11.0,34.0,93.0,30.0,39.0,@,L,7:30p,L 3,3,Brooklyn Nets,120,14.0,OT,30.0,-5.0,119,8.0,16.0,55.0,4
16.0,3.0,"Sat, Nov 3, 2018",37.0,33.0,5.0,30.0,83.0,28.0,41.0,@,L,1:00p,L 4,4,Philadelphia 76ers,109,7.0,,32.0,-50.0,99,8.0,17.0,44.0,4
27.0,3.0,"Mon, Nov 5, 2018",39.0,43.0,11.0,35.0,105.0,18.0,28.0,,L,7:00p,L 5,5,Miami Heat,120,21.0,OT,30.0,-25.0,115,8.0,19.0,60.0,4
21.0,1.0,"Wed, Nov 7, 2018",37.0,37.0,11.0,37.0,90.0,18.0,20.0,@,W,7:00p,W 1,5,Orlando Magic,96,13.0,,15.0,35.0,103,13.0,19.0,50.0,5
30.0,6.0,"Fri, Nov 9, 2018",34.0,46.0,20.0,47.0,97.0,12.0,19.0,@,W,7:30p,W 2,5,Atlanta Hawks,109,10.0,,31.0,75.0,124,10.0,10.0,44.0,6
21.0,4.0,"Sun, Nov 11, 2018",29.0,38.0,12.0,44.0,104.0,15.0,19.0,,L,3:30p,L 1,6,Charlotte Hornets,113,22.0,,18.0,-50.0,103,5.0,10.0,51.0,6
