ast,blk,date_game,drb,fg,fg3,fg3a,fga,ft,fta,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,orb,overtimes,pf,plus_minus,pts,stl,tov,trb,wins
23.0,6.0,"Thu, Oct 18, 2018",38.0,45.0,7.0,30.0,93.0,22.0,29.0,@,L,10:30p,L 1,1,Portland Trail Blazers,128,8.0,,26.0,-45.0,119,10.0,15.0,46.0,0
28.0,10.0,"Sat, Oct 20, 2018",35.0,48.0,8.0,32.0,100.0,11.0,18.0,,L,10:30p,L 2,2,Houston Rockets,124,9.0,,21.0,-45.0,115,8.0,10.0,44.0,0
33.0,6.0,"Mon, Oct 22, 2018",39.0,55.0,14.0,39.0,107.0,18.0,26.0,,L,10:30p,L 3,3,San Antonio Spurs,143,13.0,OT,29.0,-5.0,142,5.0,15.0,52.0,0
34.0,5.0,"Wed, Oct 24, 2018",32.0,52.0,10.0,28.0,100.0,17.0,23.0,@,W,10:00p,W 1,3,Phoenix Suns,113,11.0,,19.0,90.0,131,13.0,8.0,43.0,1
27.0,3.0,"Thu, Oct 25, 2018",33.0,46.0,10.0,29.0,92.0,19.0,23.0,,W,10:30p,W 2,3,Denver Nuggets,114,9.0,,19.0,35.0,121,13.0,13.0,42.0,2
19.0,5.0,"Sat, Oct 27, 2018",35.0,41.0,13.0,33.0,86.0,11.0,18.0,@,L,8:30p,L 1,4,San Antonio Spurs,110,7.0,,25.0,-20.0,106,5.0,17.0,42.0,2
24.0,8.0,"Mon, Oct 29, 2018",31.0,49.0,12.0,33.0,104.0,10.0,15.0,@,L,8:00p,L 2,5,Minnesota Timberwolves,124,17.0,,24.0,-20.0,120,8.0,18.0,48.0,2
23.0,6.0,"Wed, Oct 31, 2018",31.0,43.0,10.0,17.0,84.0,18.0,24.0,,W,10:30p,W 1,5,Dallas Mavericks,113,8.0,,27.0,5.0,114,12.0,20.0,39.0,3
20.0,11.0,"Sat, Nov 3, 2018",41.0,45.0,8.0,21.0,86.0,16.0,25.0,@,W,10:00p,W 2,5,Portland Trail Blazers,110,9.0,,22.0,20.0,114,9.0,20.0,50.0,4
25.0,4.0,"Sun, Nov 4, 2018",32.0,39.0,6.0,24.0,85.0,23.0,29.0,,L,9:30p,L 1,6,Toronto Raptors,121,6.0,,18.0,-70.0,107,6.0,16.0,38.0,4
