ast,blk,date_game,drb,fg,fg3,fg3a,fga,ft,fta,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,orb,overtimes,pf,plus_minus,pts,stl,tov,trb,wins
20.0,2.0,"Wed, Oct 17, 2018",32.0,39.0,6.0,19.0,91.0,24.0,27.0,@,L,8:30p,L 1,1,San Antonio Spurs,112,14.0,,27.0,-20.0,108,9.0,11.0,46.0,0
28.0,7.0,"Fri, Oct 19, 2018",31.0,44.0,10.0,25.0,87.0,33.0,35.0,,W,8:00p,W 1,1,Cleveland Cavaliers,123,9.0,,21.0,40.0,131,9.0,13.0,40.0,1
23.0,3.0,"Sat, Oct 20, 2018",27.0,44.0,14.0,27.0,84.0,34.0,40.0,@,L,8:30p,L 1,2,Dallas Mavericks,140,6.0,,30.0,-20.0,136,10.0,17.0,33.0,1
24.0,12.0,"Mon, Oct 22, 2018",39.0,36.0,7.0,33.0,85.0,22.0,24.0,,W,8:00p,W 1,2,Indiana Pacers,91,8.0,,17.0,50.0,101,9.0,15.0,47.0,2
25.0,5.0,"Wed, Oct 24, 2018",28.0,40.0,15.0,30.0,96.0,10.0,16.0,@,L,7:30p,L 1,3,Toronto Raptors,112,16.0,,17.0,-35.0,105,10.0,15.0,44.0,2
19.0,6.0,"Fri, Oct 26, 2018",32.0,36.0,10.0,43.0,112.0,13.0,18.0,,L,8:00p,L 2,4,Milwaukee Bucks,125,17.0,,15.0,-150.0,95,10.0,7.0,49.0,2
26.0,12.0,"Mon, Oct 29, 2018",31.0,42.0,14.0,29.0,98.0,26.0,30.0,,W,8:00p,W 1,4,Los Angeles Lakers,120,20.0,,14.0,20.0,124,11.0,14.0,51.0,3
19.0,8.0,"Wed, Oct 31, 2018",34.0,50.0,12.0,25.0,86.0,16.0,24.0,,W,8:00p,W 2,4,Utah Jazz,125,7.0,,28.0,15.0,128,10.0,15.0,41.0,4
25.0,4.0,"Fri, Nov 2, 2018",31.0,38.0,13.0,45.0,101.0,10.0,14.0,@,L,10:30p,L 1,5,Golden State Warriors,116,8.0,,16.0,-85.0,99,8.0,5.0,39.0,4
18.0,4.0,"Sun, Nov 4, 2018",25.0,29.0,7.0,30.0,93.0,16.0,21.0,@,L,9:00p,L 2,6,Portland Trail Blazers,111,13.0,,21.0,-150.0,81,9.0,11.0,38.0,4
