ast,blk,date_game,drb,fg,fg3,fg3a,fga,ft,fta,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,orb,overtimes,pf,plus_minus,pts,stl,tov,trb,wins
17.0,3.0,"Wed, Oct 17, 2018",32.0,49.0,7.0,19.0,95.0,12.0,18.0,,L,10:00p,L 1,1,Utah Jazz,123,5.0,,27.0,-30.0,117,8.0,9.0,37.0,0
24.0,2.0,"Fri, Oct 19, 2018",30.0,50.0,10.0,25.0,96.0,19.0,26.0,@,L,8:00p,L 2,2,New Orleans Pelicans,149,9.0,,26.0,-100.0,129,6.0,13.0,39.0,0
28.0,7.0,"Sun, Oct 21, 2018",34.0,50.0,10.0,22.0,91.0,21.0,28.0,@,W,7:00p,W 1,2,Oklahoma City Thunder,120,12.0,,26.0,55.0,131,11.0,17.0,46.0,1
29.0,6.0,"Tue, Oct 23, 2018",30.0,45.0,13.0,31.0,86.0,9.0,20.0,@,L,9:00p,L 1,3,Denver Nuggets,126,9.0,,17.0,-70.0,112,7.0,16.0,39.0,1
19.0,5.0,"Wed, Oct 24, 2018",42.0,35.0,6.0,18.0,83.0,21.0,33.0,,W,10:00p,W 1,3,Memphis Grizzlies,92,15.0,,15.0,25.0,97,7.0,14.0,57.0,2
25.0,4.0,"Fri, Oct 26, 2018",39.0,44.0,14.0,37.0,95.0,14.0,23.0,,W,10:00p,W 2,3,Washington Wizards,112,14.0,,18.0,20.0,116,8.0,18.0,53.0,3
28.0,8.0,"Mon, Oct 29, 2018",37.0,48.0,12.0,26.0,97.0,15.0,25.0,@,W,7:30p,W 3,3,Miami Heat,113,9.0,,23.0,50.0,123,8.0,12.0,46.0,4
22.0,6.0,"Tue, Oct 30, 2018",43.0,41.0,8.0,22.0,84.0,17.0,26.0,@,W,7:00p,W 4,3,Orlando Magic,99,8.0,,20.0,40.0,107,8.0,15.0,51.0,5
38.0,3.0,"Thu, Nov 1, 2018",36.0,53.0,14.0,35.0,98.0,26.0,32.0,@,W,7:30p,W 5,3,Atlanta Hawks,115,10.0,,29.0,155.0,146,14.0,14.0,46.0,6
24.0,4.0,"Sun, Nov 4, 2018",36.0,42.0,14.0,36.0,95.0,11.0,22.0,@,L,3:30p,L 1,4,Milwaukee Bucks,144,8.0,,26.0,-175.0,109,6.0,15.0,44.0,6
27.0,5.0,"Wed, Nov 7, 2018",25.0,42.0,8.0,23.0,88.0,13.0,18.0,,L,10:00p,L 2,5,Toronto Raptors,114,6.0,,26.0,-45.0,105,10.0,15.0,31.0,6
25.0,6.0,"Fri, Nov 9, 2018",37.0,43.0,12.0,32.0,95.0,23.0,29.0,,W,10:00p,W 1,5,Minnesota Timberwolves,110,12.0,,29.0,55.0,121,7.0,12.0,49.0,7
11.0,5.0,"Sat, Nov 10, 2018",37.0,32.0,6.0,25.0,92.0,16.0,20.0,,L,10:00p,L 1,6,Los Angeles Lakers,101,13.0,,20.0,-75.0,86,7.0,19.0,50.0,7
27.0,3.0,"Mon, Nov 12, 2018",38.0,43.0,11.0,24.0,86.0,7.0,12.0,,W,10:00p,W 1,6,San Antonio Spurs,99,7.0,,20.0,25.0,104,12.0,12.0,45.0,8
23.0,2.0,"Fri, Nov 16, 2018",33.0,37.0,12.0,33.0,80.0,18.0,24.0,@,L,8:00p,L 1,7,Memphis Grizzlies,112,9.0,,24.0,-40.0,104,9.0,21.0,42.0,8
