ast,blk,date_game,drb,fg,fg3,fg3a,fga,ft,fta,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,orb,overtimes,pf,plus_minus,pts,stl,tov,trb,wins
21.0,4.0,"Wed, Oct 17, 2018",39.0,41.0,13.0,27.0,79.0,28.0,38.0,@,W,10:00p,W 1,0,Sacramento Kings,117,5.0,,19.0,30.0,123,8.0,17.0,44.0,1
24.0,4.0,"Fri, Oct 19, 2018",28.0,40.0,19.0,46.0,89.0,24.0,29.0,,L,10:30p,L 1,1,Golden State Warriors,124,10.0,,19.0,-5.0,123,11.0,16.0,38.0,1
18.0,6.0,"Mon, Oct 22, 2018",40.0,29.0,8.0,32.0,82.0,18.0,23.0,,L,9:00p,L 2,2,Memphis Grizzlies,92,10.0,,22.0,-40.0,84,6.0,15.0,50.0,1
21.0,5.0,"Wed, Oct 24, 2018",38.0,34.0,10.0,29.0,78.0,22.0,28.0,@,W,8:00p,W 1,2,Houston Rockets,89,9.0,,21.0,55.0,100,7.0,18.0,47.0,2
32.0,7.0,"Sat, Oct 27, 2018",37.0,46.0,10.0,32.0,88.0,30.0,37.0,@,W,7:00p,W 2,2,New Orleans Pelicans,111,6.0,,26.0,105.0,132,7.0,13.0,43.0,3
25.0,6.0,"Sun, Oct 28, 2018",35.0,42.0,10.0,25.0,80.0,19.0,22.0,@,W,7:00p,W 3,2,Dallas Mavericks,104,8.0,,27.0,45.0,113,8.0,18.0,43.0,4
25.0,5.0,"Wed, Oct 31, 2018",28.0,47.0,13.0,30.0,97.0,18.0,30.0,@,L,8:00p,L 1,3,Minnesota Timberwolves,128,20.0,,22.0,-15.0,125,9.0,14.0,48.0,4
21.0,5.0,"Fri, Nov 2, 2018",29.0,36.0,14.0,36.0,77.0,14.0,25.0,,L,9:00p,L 2,4,Memphis Grizzlies,110,10.0,,25.0,-50.0,100,3.0,14.0,39.0,4
22.0,7.0,"Sat, Nov 3, 2018",30.0,33.0,6.0,31.0,81.0,16.0,24.0,@,L,9:00p,L 3,5,Denver Nuggets,103,10.0,,21.0,-75.0,88,12.0,12.0,40.0,4
29.0,4.0,"Mon, Nov 5, 2018",28.0,38.0,8.0,31.0,86.0,27.0,41.0,,L,9:00p,L 4,6,Toronto Raptors,124,12.0,,19.0,-65.0,111,10.0,12.0,40.0,4
31.0,10.0,"Wed, Nov 7, 2018",27.0,43.0,13.0,37.0,89.0,18.0,26.0,,W,9:00p,W 1,6,Dallas Mavericks,102,8.0,,32.0,75.0,117,12.0,11.0,35.0,5
29.0,4.0,"Fri, Nov 9, 2018",37.0,43.0,13.0,34.0,77.0,24.0,30.0,,W,9:30p,W 2,6,Boston Celtics,115,8.0,,21.0,40.0,123,4.0,16.0,45.0,6
19.0,6.0,"Mon, Nov 12, 2018",36.0,32.0,9.0,32.0,82.0,23.0,30.0,@,W,8:00p,W 3,6,Memphis Grizzlies,88,13.0,,25.0,40.0,96,7.0,15.0,49.0,7
16.0,3.0,"Wed, Nov 14, 2018",25.0,25.0,6.0,35.0,81.0,12.0,19.0,@,L,8:30p,L 1,7,Dallas Mavericks,118,8.0,,21.0,-250.0,68,11.0,21.0,33.0,7
15.0,4.0,"Fri, Nov 16, 2018",29.0,41.0,4.0,22.0,88.0,21.0,37.0,@,L,7:00p,L 2,8,Philadelphia 76ers,113,10.0,,25.0,-30.0,107,10.0,13.0,39.0,7
23.0,4.0,"Sat, Nov 17, 2018",39.0,35.0,11.0,38.0,78.0,17.0,27.0,@,W,7:30p,W 1,8,Boston Celtics,86,7.0,,23.0,60.0,98,11.0,14.0,46.0,8
